,id_str,file_loc,smooth-or-featured_smooth,smooth-or-featured_featured-or-disk
92372,587732482195062983,/home/colin/data/munch1tb/zoobot_data/gzimg/sdsspng/587732482195062983.png,43.0,1.0
96767,587741724971040922,/home/colin/data/munch1tb/zoobot_data/gzimg/sdsspng/587741724971040922.png,41.0,2.0
145057,587733081884786874,/home/colin/data/munch1tb/zoobot_data/gzimg/sdsspng/587733081884786874.png,31.0,7.0
131040,588023721784770748,/home/colin/data/munch1tb/zoobot_data/gzimg/sdsspng/588023721784770748.png,37.0,4.0
91301,587748929235452103,/home/colin/data/munch1tb/zoobot_data/gzimg/sdsspng/587748929235452103.png,0.0,52.0
142422,587725074451988910,/home/colin/data/munch1tb/zoobot_data/gzimg/sdsspng/587725074451988910.png,14.0,17.0
180739,587736543628230828,/home/colin/data/munch1tb/zoobot_data/gzimg/sdsspng/587736543628230828.png,12.0,26.0
117144,587732048408936597,/home/colin/data/munch1tb/zoobot_data/gzimg/sdsspng/587732048408936597.png,37.0,5.0
42362,588017704003829865,/home/colin/data/munch1tb/zoobot_data/gzimg/sdsspng/588017704003829865.png,34.0,2.0
120072,587725816955535463,/home/colin/data/munch1tb/zoobot_data/gzimg/sdsspng/587725816955535463.png,39.0,6.0
174789,587729970181701720,/home/colin/data/munch1tb/zoobot_data/gzimg/sdsspng/587729970181701720.png,37.0,6.0
13752,588848900465885460,/home/colin/data/munch1tb/zoobot_data/gzimg/sdsspng/588848900465885460.png,23.0,25.0
86086,587733441584496773,/home/colin/data/munch1tb/zoobot_data/gzimg/sdsspng/587733441584496773.png,9.0,35.0
176291,587742191515598891,/home/colin/data/munch1tb/zoobot_data/gzimg/sdsspng/587742191515598891.png,0.0,43.0
187961,587731891112312918,/home/colin/data/munch1tb/zoobot_data/gzimg/sdsspng/587731891112312918.png,1.0,33.0
81348,588295841247789191,/home/colin/data/munch1tb/zoobot_data/gzimg/sdsspng/588295841247789191.png,37.0,4.0
57071,587735044693950618,/home/colin/data/munch1tb/zoobot_data/gzimg/sdsspng/587735044693950618.png,38.0,4.0
38456,587728879268200565,/home/colin/data/munch1tb/zoobot_data/gzimg/sdsspng/587728879268200565.png,2.0,29.0
156522,588017730298839136,/home/colin/data/munch1tb/zoobot_data/gzimg/sdsspng/588017730298839136.png,34.0,4.0
174233,587732578848931904,/home/colin/data/munch1tb/zoobot_data/gzimg/sdsspng/587732578848931904.png,35.0,6.0
83961,588018091079041281,/home/colin/data/munch1tb/zoobot_data/gzimg/sdsspng/588018091079041281.png,6.0,31.0
